State,City,Income,Poverty,Highschool
MO,Washburn,40536.0,20.8,69.6
AL,Mobile,38776.0,23.3,86.9
NE,Hardy village,37222.0,22.9,88.4
AL,Semmes,46596.0,19.2,77.3
OH,Archbold village,50778.0,13.8,88.3
MO,Chain-O-Lakes village,39583.0,33.6,93.4
PA,Fawn Grove borough,62000.0,4.0,93.7
PA,Wall borough,50052.0,17.0,86.2
MO,Cottleville,92500.0,2.1,97.8
MI,Douglas,47431.0,9.1,89.6
CA,Tiburon town,131542.0,3.6,98.5
MS,Brandon,71944.0,7.0,93.3
AL,Greensboro,21797.0,39.3,75.0
MT,Florence CDP,50789.0,4.3,90.4
OK,Boswell town,21827.0,38.3,79.9
MA,Lowell,48002.0,19.8,78.9
WY,Manderson town,28333.0,6.4,73.4
TX,Hitchcock,49872.0,21.9,84.7
ID,Wallace,30438.0,26.3,85.8
GA,Jersey,45625.0,12.7,75.8
CO,Aspen Park CDP,66563.0,9.9,95.8
KS,Long Island,44375.0,2.3,94.4
TX,Pawnee CDP,61875.0,0.0,56.6
LA,Iota town,36500.0,12.5,78.9
NY,East Rockaway village,93490.0,3.2,96.2
WI,Embarrass village,43854.0,26.3,91.1
MA,Somerville,73106.0,14.7,89.3
AZ,Seven Mile CDP,17344.0,54.1,77.2
NY,Au Sable Forks CDP,45625.0,11.6,81.8
GA,Roberta,21458.0,38.7,71.8
TN,Doyle town,29464.0,21.0,80.9
UT,Stockton town,63750.0,7.4,92.7
GA,Webster County unified government,37063.0,22.5,75.7
WI,Minocqua CDP,22250.0,32.3,93.0
KY,Crossgate,99286.0,1.1,97.8
KS,White Cloud,31528.0,30.2,83.3
ND,Tioga,57090.0,3.7,85.6
OH,Deshler village,40208.0,19.6,89.8
GA,Cadwell town,21563.0,49.5,76.7
TX,Garden CDP,61696.0,0.0,82.6
PA,Spinnerstown CDP,83977.0,10.2,93.5
TX,Morton,29563.0,24.5,57.6
WI,Algoma,40714.0,14.5,88.5
IL,Middletown village,43750.0,12.5,82.8
TN,Medina,64818.0,7.5,92.7
PA,Brownstown borough,44583.0,16.4,95.1
AL,Crossville town,30833.0,38.1,70.4
NE,Doniphan village,47163.0,8.8,93.2
IN,Campbellsburg town,27708.0,33.6,84.5
HI,Olowalu CDP,75417.0,5.6,95.0
OH,North Kingsville village,60343.0,6.7,92.7
NC,Roseboro town,35682.0,19.8,86.0
NY,Brookhaven CDP,90833.0,8.7,88.4
GA,Pinehurst,29250.0,21.8,78.0
ME,Rumford CDP,25138.0,30.1,89.6
TX,Lyford,25060.0,40.2,64.7
DE,Leipsic town,39375.0,13.6,80.5
MS,Heidelberg town,27955.0,19.5,84.1
AR,Mayflower,42798.0,8.5,81.9
NM,Tesuque CDP,67083.0,14.0,94.4
NE,Seward,58914.0,10.7,93.3
WY,Meeteetse town,45341.0,3.8,89.5
GA,Columbus,42306.0,20.5,86.4
PA,Delaware Water Gap borough,45313.0,9.6,99.0
NM,Nakaibito CDP,36250.0,30.7,75.5
TN,Wartrace town,38750.0,21.1,84.3
CO,Ignacio town,48333.0,18.7,87.9
AL,Orrville town,16250.0,37.3,71.4
FL,Lake Mary Jane CDP,75750.0,3.5,97.6
GA,Kingsland,57449.0,8.9,92.3
IA,Delmar,49762.0,5.3,92.3
WA,Grandview,38990.0,23.2,58.3
TN,Lookout Mountain town,121319.0,3.5,99.6
NE,Venango village,53000.0,12.8,92.2
MN,New Ulm,50254.0,7.8,91.8
PA,Rockwood borough,37138.0,15.2,86.3
NE,Sprague village,51875.0,10.7,96.2
NY,Skaneateles village,79871.0,4.9,98.5
NJ,West New York town,45370.0,22.1,73.0
AR,Cale town,27813.0,21.2,92.0
IL,Sidell village,42639.0,11.7,89.2
ME,Sanford,44040.0,18.1,87.7
IA,Orchard,50000.0,14.7,93.1
CA,Bishop,41069.0,13.0,85.8
SC,Hemingway town,32656.0,24.8,93.3
GA,Grayson,96667.0,9.2,95.3
PA,Wellsville borough,66250.0,10.1,86.9
WI,Thornton CDP,43571.0,15.5,95.0
OK,Cheyenne town,43393.0,15.9,92.8
WV,Beaver CDP,49147.0,5.9,60.3
MI,New Haven village,54855.0,9.5,89.4
ND,Garrison,48700.0,15.3,87.6
NM,Logan village,35294.0,14.5,90.3
MN,Hinckley,30347.0,28.3,91.7
TX,Glidden CDP,52153.0,9.0,89.5
WA,Brewster,38167.0,21.5,52.2
PA,Mount Eagle CDP,43750.0,2.7,96.7
MA,North Adams,38490.0,18.5,84.8
CA,American Canyon,75997.0,11.8,85.2
PA,Bradenville CDP,42471.0,6.5,88.7
NE,Crawford,28553.0,23.1,89.1
OH,Metamora village,62422.0,4.3,97.5
KY,Manor Creek,121875.0,0.0,100.0
OR,Kirkpatrick CDP,74688.0,11.0,96.9
MD,Fairland CDP,72493.0,9.3,93.8
PA,Cashtown CDP,54000.0,9.3,100.0
MS,Cruger town,18125.0,42.3,76.7
TX,Bayview town,76458.0,8.5,92.1
NM,La Puebla CDP,21325.0,16.3,75.1
TX,Redland CDP,40435.0,39.0,83.0
TX,Leona,77500.0,15.0,93.2
